time, reg flux, resp flux
0.012,1.37056e-10,7.07244e-10
0.013,1.5666e-12,1.2345e-10
0.014,3.4191e-13,3.42365e-10
0.015,1.09855e-11,4.12765e-10
0.016,1.83048e-10,2.30817e-10
0.017,3.3311e-10,8.1592e-11
0.018,1.50159e-13,1.9251e-10
0.019,1.05078e-11,9.92552e-11
0.02,2.47703e-11,4.12202e-11
0.021,3.66338e-13,4.90544e-11
0.022,3.58811e-10,1.03871e-10
0.023,4.23114e-12,3.16146e-10
0.024,2.30162e-10,1.72074e-10


